id	name	symbol	name_synonyms	symbol_synonyms	description	genes	refs	GO_CC	GO_BP	GO_MF
FBgg0000158	ACTIN-RELATED PROTEIN 2/3 COMPLEX	ARPC	-	ARP-2/3	The Actin-related protein 2/3 complex is involved in the organization of the actin cytoskeleton, in particular, the nucleation of branched actin filaments. (Adapted from FBrf0144947).	P45888,P32392,O97182,Q9VIM5,Q9VF28,Q9VX82,Q9VMH2,Q9VQD8	14757065,11854308	Arp2/3 protein complex ; GO:0005885	Arp2/3 complex-mediated actin nucleation ; GO:0034314	actin binding ; GO:0003779|structural constituent of cytoskeleton ; GO:0005200
FBgg0000138	ATAC COMPLEX	ATAC	Ada2a-containing complex|Ada2/Gcn5/Ada3 transcription activator complex	-	The Ada2a-containing (ATAC) complex is a metazoan histone acetyltransferase complex. It positively regulates gene transcription and, although it does not have any intrinsic remodeling activity, facilitates nucleosome sliding of ISWI and SWI-SNF families of chromatin-remodeling complexes. (Adapted from FBrf0204126).	Q7KSD8,M9PHZ1,Q9VM59,Q9VJ73,M9NFF9,Q9V444,Q9VLL1,Q9VTZ1,Q9V4C8,Q9VBX2,Q9VJQ5,Q9W2I4,Q9V3J8	22426530,18327268,22345504	ATAC complex ; GO:0140672	histone acetylation ; GO:0016573	histone acetyltransferase activity ; GO:0004402
FBgg0000199	ATG12-ATG5-ATG16 COMPLEX	ATG-C	-	-	The Atg12-Atg5-Atg16 complex is needed for autophagosome formation. It is composed of Atg16 interacting with covalently linked Atg12-Atg5. (Adapted from PMID:23321721 and PMID:23999079).	Q9W3R7,Q9VTU1,B7Z0R7	20798940	Atg12-Atg5-Atg16 complex ; GO:0034274	autophagy ; GO:0006914	-
FBgg0000217	AUTOPHAGY-SPECIFIC PHOSPHATIDYLINOSITOL 3-KINASE COMPLEX	ATG-PI3K	Autophagy-specific PI 3-kinase complex|Class III phosphatidylinositol 3-kinase complex type I|PtdIns-3-kinase complex I	-	The autophagy-specific phosphatidylinositol 3-kinase complex generates PI3-phosphate (PI3P) at the PAS (phagophore assembly site/preautophagosomal structure). (Adapted from FBrf0219844 and PMID:23999079).	Q9VCE1,Q9VAP6,Q9W1M7,Q9VHH2	22562043	phosphatidylinositol 3-kinase complex, class III, type I ; GO:0034271	autophagy ; GO:0006914	-
FBgg0000132	ATG1 PROTEIN KINASE COMPLEX	ATG-PK	ATG1-ATG13 kinase complex|Atg1 complex|autophagy-related 1 complex|UKL1 complex	-	The Atg1 protein kinase complex, is an autophagy-specific complex of the Atg1 Ser/Thr kinase and regulatory subunits.  It is required in the early biogenesis of the autophagosome. (Adapted from FBrf0219844 and PMID:23999079).	Q8MQJ7,Q9VHR6,Q7KTS2,Q9VWQ1	22562043	Atg1/ULK1 kinase complex ; GO:1990316	autophagy ; GO:0006914	-
FBgg0000281	BRAHMA ASSOCIATED PROTEINS COMPLEX	BAP	BAF complex|BRG1 associated factor	-	The Brahma associated proteins (BAP) complex is an ATP-dependent chromatin remodeling complex. (Adapted from FBrf0192510.)	P10987,P02572,Q7K012,Q9VYG2,Q9W384,Q9VLX2,P25439,Q7K3G5,Q9VF03,Q8IN94,Q24090	33232675,18299390,15060132	brahma complex ; GO:0035060	chromatin remodeling ; GO:0006338	-
FBgg0000094	BBSOME	BBS	Bardet-Biedl Syndrome Proteins	BBSome	The BBSome is a complex of Bardet-Biedl Syndrome (BBS) proteins that are evolutionary related to coat protein complexes. It is involved in the trafficking of membrane proteins to primary cilia and interacts with IFT-A and IFT-B complexes in the intraflagella transport system. (Adapted from PMID:19575670 and FBrf0223369).	A1ZBK9,E1JIG6,Q9VS19,A1Z8E9,Q9I7P3,Q9VPP9,B7YZM8	15137945,23569277	BBSome ; GO:0034464|cilium ; GO:0005929	cilium assembly ; GO:0060271	-
FBgg0000185	BIOGENESIS OF LYSOSOME-RELATED ORGANELLES COMPLEX-1	BLOC1	Biogenesis of lysosomal organelles complex-1	BLOC-1	The BLOC (biogenesis of lysosome-related organelles complex) complexes are required for the biogenesis of specialized organelles of the endosomal-lysosomal system.  In mammalian cells, BLOC-1 localizes to early endosomes and facilitates protein trafficking to melanosomes in melanocytes. In D.mel, BLOC-1 has been shown to be involved in pigment granule biogenesis. (Adapted from FBrf0192474).	A1Z9S1,Q9VTE0,A8JNV4,Q9VTC2,Q9VVT5,Q0KI28,Q9VTM0,Q9VQF9	20102546,20015953,17156100,19083121	BLOC-1 complex ; GO:0031083	eye pigment granule organization ; GO:0008057	-
FBgg0000110	BIOGENESIS OF LYSOSOME-RELATED ORGANELLES COMPLEX-2	BLOC2	Biogenesis of lysosomal organelles complex-2	BLOC-2	The BLOC (biogenesis of lysosome-related organelles complex) complexes are required for the biogenesis of specialized organelles of the endosomal-lysosomal system. In mammalian cells, BLOC-2 localizes to early endosomes and facilitates protein trafficking to melanosomes in melanocytes. In D.mel, BLOC-2 has been shown to be involved in eye pigmentation. (Adapted from FBrf0192474).	Q9VNX0,Q9VHN9	20102546,17156100	BLOC-2 complex ; GO:0031084	compound eye pigmentation ; GO:0048072	-
FBgg0000192	BIOGENESIS OF LYSOSOME-RELATED ORGANELLES COMPLEX-3	BLOC3	Biogenesis of lysosomal organelles complex-3	BLOC-3	The BLOC (biogenesis of lysosome-related organelles complex) complexes are required for the biogenesis of specialized organelles of the endosomal-lysosomal system. BLOC-3 is proposed to regulate protein trafficking and organelle dynamics. (Adapted from FBrf0192474).	Q7K3N1,A1ZAX8	20102546,17156100	BLOC-3 complex ; GO:0031085	-	-
FBgg0001619	BLOC1-RELATED COMPLEX	BORC	-	-	BLOC1-related complex (BORC) is a lysosome associated multi-subunit protein complex that promotes lysosome positioning through coupling to the small GTPase Arl8. This initiates a chain of interactions that promotes the kinesin-dependent movement of lysosomes toward the plus ends of microtubules in the peripheral cytoplasm. (Adapted from PMID:25898167 and FBrf0241370).	A1Z9S1,Q9VTE0,Q9VYT1,Q9W0Q3,A1ZBV5,Q9VTY4,Q8IR45,Q9VQF9	30590083	BORC complex ; GO:0099078	lysosome localization ; GO:0032418	-
FBgg0001765	C/D SMALL NUCLEOLAR RIBONUCLEOPROTEIN COMPLEX	C-DRNP	-	C/D RNPs	The C/D small nucleolar ribonucleoprotein complex (C/D snoRNP) is a ribosome processing complex that catalyzes the site-specific 2'-O-methylation of ribosomal RNAs using box C/D snoRNAs as guides and assist the assembly of ribosomes. (Adapted from PMID:22065625 and FBrf0190937).	Q9W1V3,Q9VM69,Q95WY3,Q8MSW9	24394412,18776683,19285445	box C/D RNP complex ; GO:0031428	snoRNA guided rRNA 2'-O-methylation ; GO:0000452	-
FBgg0000295	CHROMATIN ASSEMBLY FACTOR 1	CAF-1	-	CAF1	Chromatin assembly factor 1 (CAF-1) is a highly conserved three-subunit histone chaperone in eukaryotes, which facilitates chromatin assembly by depositing histone H3 and H4 onto newly synthesized DNA. CAF-1 is also implicated in epigenetic regulation. (Adapted from FBrf0222414).	Q24572,A1Z898,Q9W3D1	11533245,23942516	CAF-1 complex ; GO:0033186	nucleosome assembly ; GO:0006334	-
FBgg0000356	CDK-ACTIVATING KINASE COMPLEX	CAK	cyclin-dependent protein kinase-activating kinase	-	The cyclin-dependent kinase (CDK)-activating kinase (CAK) complex is a three-subunit kinase module present as a subcomplex of TFIIH, as free trimeric CAK or in complex with the ATP-dependent DNA helicase XPD (Xpd in D.mel). The TFIIH-associated CAK complex phosphorylates the C-terminal domain of RNA pol II. The free form of CAK activates the cell cycle CDKs. The CAK-XPD complex regulates the cell cycle progression in mitosis. (Adapted from FBrf0227236 and PMID:21592869).	Q24216,O76513,Q7KPG8	19008953,10908585,15354295,11447116,25431422	carboxy-terminal domain protein kinase complex ; GO:0032806|transcription factor TFIIH holo complex ; GO:0005675	regulation of cyclin-dependent protein serine/threonine kinase activity ; GO:0000079|transcription initiation from RNA polymerase II promoter ; GO:0006367	cyclin-dependent protein serine/threonine kinase activity ; GO:0004693|RNA polymerase II CTD heptapeptide repeat kinase activity ; GO:0008353
FBgg0000354	CDK-ACTIVATING KINASE-XERODERMA PIGMENTOSUM D COMPLEX	CAK-XPD	-	-	The cyclin-dependent kinase (CDK)-activating kinase-Xeroderma pigmentosum D (CAK-XPD) complex is a four-subunit kinase module. CAK-XPD has a role in the regulation of the cell cycle progression in mitosis, where XPD negatively regulates the cell cycle function of the CAK activity. (Adapted from FBrf0227236, FBrf0211947, FBrf0159708 and PMID:21592869).	Q24216,O76513,Q7KPG8,Q7KVP9	12853965,11447116,20300654,25431422	nucleus ; GO:0005634	regulation of cyclin-dependent protein serine/threonine kinase activity ; GO:0000079	-
FBgg0000773	CBF DOMAIN TRANSCRIPTION FACTORS	CBFTF	NF-Y complex|nuclear factor Y-box complex	-	The CCAAT motif-binding factor (CBF) transcription factor is a sequence specific DNA-binding protein complex that regulates transcription. The CBF factor consists of three different subunits, that interact with each other to form the nuclear factor Y-box (NF-Y) complex that recognizes the CCAAT-box DNA motifs. (Adapted from FBrf0220141).	Q9VSY9,Q8ST61,Q9W3V9	24359758,23470843,17216611	CCAAT-binding factor complex ; GO:0016602	regulation of transcription, DNA-templated ; GO:0006355	DNA-binding transcription factor activity ; GO:0003700|transcription cis-regulatory region binding ; GO:0000976
FBgg0000621	CORE CLEAVAGE COMPLEX	CCC	-	-	The core cleavage complex is a component of two distinct complexes, the cleavage/polyadenylation complex and the histone pre-mRNA cleavage complex that processes nonpolyadenylated histone pre-mRNAs. (Adapted from FBrf0229062 and FBrf0208078).	Q9VE51,Q9V3D6,Q8MSU4	28415970,26081560,24145821,19450530	mRNA cleavage factor complex ; GO:0005849	mRNA 3'-end processing by stem-loop binding and cleavage ; GO:0006398	mRNA binding ; GO:0003729
FBgg0000469	CCR4-NOT COMPLEX	CCR4-NOT	-	-	The CCR4-NOT complex is a conserved multi-subunit complex implicated in various cellular processes to regulated gene expression. It is best characterised in its role as the main enzyme responsible for the deadenylation of mRNA. The conserved core of the complex is composed of two modules: the NOT module and a catalytic module comprising two deadenylases, twin and Pop2. (Adapted from FBrf0221179 and FBrf0231273).	A0A0B4LEZ3,Q7K126,Q9V3G6,Q8MLP8,X2JCC3,Q7JVP2,Q94547,Q8IMX1	23303381,15215893,20504953,24904643	CCR4-NOT complex ; GO:0030014	mRNA catabolic process ; GO:0006402|negative regulation of translation ; GO:0017148	poly(A)-specific ribonuclease activity ; GO:0004535
FBgg0000505	CHAPERONIN CONTAINING TCP-1 COMPLEX	CCT	HEAT SHOCK PROTEIN 60 CHAPERONINS - GROUP II|Chaperonin Containing TCP-1 complex|TCP-1 Ring Complex	HSP60-II|TRiC	Group II Heat Shock Protein 60 chaperonins are paralogous subunits that assemble to form a multi-subunit ring complex, the TCP-1 Ring Complex (TRiC) or Chaperonin Containing TCP-1 (CCT) complex. Within the cytoplasm, TRiC/CCT catalyses the ATP-dependent folding of approximately 10% of of newly synthesized proteins. (Adapted from FBrf0210519, FBrf0232269 and PMID:11580267).	P12613,Q9W392,P48605,Q9VK69,Q7KKI0,Q9VXQ5,Q9VHL2,Q7K3J0	20122915	chaperonin-containing T-complex ; GO:0005832	protein folding ; GO:0006457	ATP-dependent protein folding chaperone ; GO:0140662
FBgg0000609	CEP290 COMPLEX	CEP290C	CEP290 Module	-	The CEP290 complex or module is protein complex located at the ciliary transition zone. It is involved in the assembly of transition zone components. (Adapted from FBrf0233737 and FBrf0233580).	Q9W0M1,B7YZJ4	27646273	ciliary transition zone ; GO:0035869	cilium assembly ; GO:0060271	-
FBgg0001749	CHAT COMPLEX	CHAT	Chiffon histone acetyltransferase (CHAT) complex	-	The chiffon histone acetyltransferase (CHAT) complex is a unique Gcn5 complex specific to insects that shows characteristic histone acetyltransferase activity towards histone H3. (Adapted from FBrf0241207, FBrf0247978 and FBrf0248705).	Q8I8V0,M9PHZ1,Q9NK54,Q9VTZ1,Q9W2I4	32739556,32735945,30559249	-	histone acetylation ; GO:0016573	histone acetyltransferase activity ; GO:0004402
FBgg0000299	CHROMATIN ACCESSIBILITY COMPLEX	CHRAC	CHROMATIN ACCESSIBILITY COMPLEX (CHRAC)|Chromatin accessibility complex	-	CHRAC is an ISWI-containing chromatin remodeling complex that optimizes nucleosome spacing to promote chromatin assembly and the repression of transcription. (Adapted from FBrf0228920).	Q9V9T4,Q9V444,Q9V452,Q24368	16821138,19355820,11447119	CHRAC ; GO:0008623	nucleosome mobilization ; GO:0042766	ATP-dependent chromatin remodeler activity ; GO:0140658
FBgg0000123	CLATHRIN COMPLEX	CLATH	Clathrin triskelion	-	Clathrin is the major component of coated vesicles. It is a heterohexamer formed from three clathrin light chains and three heavy chains adopting a three-legged triskelion structure. To form coated vesicles, clathrin assembles into a polygonal lattice around the invaginating membrane, interacting with adaptors proteins which in-turn interact with the membrane. After membrane scission, the clatherin cage is disassembled from the vesicle. (Adapted from PMID:17702618).	P29742,Q9VWA1	18364232	clathrin complex ; GO:0071439|clathrin vesicle coat ; GO:0030125	vesicle-mediated transport ; GO:0016192	clathrin binding ; GO:0030276
FBgg0001612	CMG COMPLEX	CMG	Cdc45-MCM-GINS complex|unwindosome	-	The CMG (Cdc45-MCM-GINS) complex is the eukaryotic replicative helicase, the enzyme that unwinds double-stranded DNA at replication forks. It is a macromolecular assembly of three replication factors: the Cdc45 protein, and the MCM and GINS complexes. All three components are essential for CMG function, with the MCM2-7 complex functioning as the molecular motor that harnesses the energy of ATP hydrolysis to catalyse strand separation. (Adapted from PMID:23412083.)	O96989,Q26454,P49735,Q9XYU1,Q9VGW6,Q9V461,Q9XYU0,Q9W0I7,Q9VQY9,Q9W2V7,Q9VBI1	21378962,25117490,20122406,16798881	CMG complex ; GO:0071162	DNA unwinding involved in DNA replication ; GO:0006268|pre-replicative complex assembly involved in nuclear cell cycle DNA replication ; GO:0006267	double-stranded DNA helicase activity ; GO:0036121
FBgg0001066	CSL-NOTCH-MASTERMIND TRANSCRIPTION FACTOR COMPLEX	CNM	CSL-NICD-MAM ternary complex	CSL-NICD-MAM	The CSL-Notch-Mastermind transcription factor complex consisting of the CSL protein, Su(H), and mastermind (mam) protein, in complex with Notch intracellular domain (generated by ligand-stimulated N-cleavage), up-regulates transcription of Notch-responsive genes. (Adapted from FBrf0232880).	P21519,P07207,P28159	25650119,21737682,27404588	CSL-Notch-Mastermind transcription factor complex ; GO:1990433	Notch signaling pathway ; GO:0007219|positive regulation of transcription by RNA polymerase II ; GO:0045944	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981
FBgg0000467	CONSERVED OLIGOMERIC GOLGI COMPLEX	COG	-	COC|GOC	The conserved oligomeric Golgi (COG) complex is a multi-subunit tethering complex of the CATCHR family that functions as a vesicular tether during retrograde intra-Golgi trafficking. (Adapted from PMID:23839779).	Q9VGC3,Q9VF78,Q961G1,Q95TN4,Q9V564,Q9VAD6,Q9VKH0,Q9VJD3	22946051,25453831,18353293	Golgi transport complex ; GO:0017119	Golgi organization ; GO:0007030|intra-Golgi vesicle-mediated transport ; GO:0006891	-
FBgg0000156	COHESIN	COHSN	-	-	The cohesin complex forms a ring-like structure which encircles sister chromatids holding them together after DNA replication. Cohesin also has roles in the regulation of gene expression and DNA repair. (Adapted from FBrf0207490).	Q9VM62,Q9VCD8,Q9VXE9,O96689	19308700	cohesin complex ; GO:0008278	sister chromatid cohesion ; GO:0007062	chromatin binding ; GO:0003682
FBgg0000296	COMPASS COMPLEX	COMP	Complex proteins associated with Set1 complex|SET1C complex|Set1/COMPASS	dSet1|Set1	COMPASS is a histone H3K4 methyltransferase complex thought to be responsible for the bulk of the histone H3K4 di- and trimethylation in Drosophila. (Adapted from FBrf0216343).	Q94545,Q9W352,Q9VKQ9,Q9V4C8,Q9VPH8,Q5LJZ2,Q9VLN1,Q9V3J8	21875999,27257261,22108599,22663077	Set1C/COMPASS complex ; GO:0048188	histone H3-K4 methylation ; GO:0051568	histone methyltransferase activity (H3-K4 specific) ; GO:0042800
FBgg0000173	CONDENSIN I	COND-I	Canonical condensin complex	-	Condensin I is conserved from yeast to humans. Condensin I is involved in the condensation and segregation of chromosomes. Condensin complexes consist of five subunits: a Structural Maintenance of Chromosomes (SMC) 2/4 heterodimer and three regulatory, non-SMC subunits. (Adapted from FBrf0191647).	Q9VIP9,Q9VAJ1,A1Z987,Q9V3A7,Q7KK96	21923481,22855829,14532007	condensin complex ; GO:0000796	chromosome condensation ; GO:0030261|chromosome separation ; GO:0051304	chromatin binding ; GO:0003682
FBgg0000108	CONDENSIN II	COND-II	-	-	In D.mel, the existence of a condensin II complex is disputed as no CAP-G2 subunit or equivalent has been identified. However, the condensin II subunit orthologs have been implicated in various aspects of chromosome organisation. (Adapted from FBrf0191647 and FBrf0225011).	Q9VMQ4,Q8INL2,Q9V3A7,Q7KK96	22855829,14532007	condensin complex ; GO:0000796	chromosome condensation ; GO:0030261|chromosome separation ; GO:0051304	chromatin binding ; GO:0003682
FBgg0000087	COAT PROTEIN COMPLEX I	COPI	Coatomer	-	The Coat Protein Complex I (COPI or coatomer) is responsible for retrograde transport from the Golgi to ER. It is composed of seven subunits: the alpha, beta, delta and gamma subunits form the cargo adaptor and the beta', epsilon and zeta form the vesicle cage. The small Ras GTPase, Arf1 (Arf79F in D.mel) recruits the complex to Golgi membranes in its GTP-bound form. (Adapted from PMID:22160157).	P61209,Q9W0B8,O62621,P45437,Q8I0G5,Q9W555,Q9Y0Y5,Q9VV89	19067489,22553212	COPI vesicle coat ; GO:0030126	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum ; GO:0006890	-
FBgg0000116	COAT PROTEIN COMPLEX II	COPII	-	-	The Coat Protein Complex II (COPII) mediates protein transport from the ER to Golgi (anterograde transport). COPII recruitment is initiated by the activation of the small GTPase Sar1. Sar1 recruits a heterodimeric complex comprising of Sec23/24, which interacts with cargo and the outer cage - a heterotetramer composed of Sec13/31. (Adapted from PMID:18060556).	Q9VD29,Q9V3J4,A0A0B4K5Z8,A1Z813,M9PC99,A0A0B4LEZ1	23902691	COPII vesicle coat ; GO:0030127	endoplasmic reticulum to Golgi vesicle-mediated transport ; GO:0006888	-
FBgg0000592	CALCIUM RELEASE-ACTIVATED CALCIUM CHANNEL SUBUNITS	CRAC	SOCE channels|Store-operated calcium entry channels	CRAC-C	Ca[2+] release-activated Ca[2+] (CRAC) channels function in store-operated Ca[2+] entry, a mechanism for Ca[2+] entry across the plasma membrane modulated by intracellular (mainly endoplasmic reticulum) Ca[2+] stores. CRAC channels are highly Ca[2+] selective and are composed of ORAI pore-forming subunits (olf186-F in D.mel) and the stromal interaction molecule (Stim), a Ca[2+] sensor. (Adapted from FBrf0214207 and PMID:27130253).	Q9U6B8,P83094	22100727,17293345,20807283,24213636,16751269	-	store-operated calcium entry ; GO:0002115	store-operated calcium channel activity ; GO:0015279
FBgg0001763	CRUMBS COMPLEX	CRBC	CRB complex	-	The crumbs protein complex is one of the key regulators of apical cell polarity and cell shape, more specifically epithelial and photoreceptor cells. The core components of the crumbs complex are scaffolding proteins and recruit other polarity module proteins into close proximity. (Adapted from FBrf0239410 and FBrf0204878).	P10040,Q9NB04,E2QD98,Q8IMT8	18177979,23136386,29651238	-	establishment or maintenance of cell polarity ; GO:0007163	-
FBgg0000896	BETA CATENIN DESTRUCTION COMPLEX	DES-C	Destruction complex; beta-catenin destruction complex	-	The beta-catenin destruction complex is a cytoplasmic protein complex that phosphorylates beta-catenin, targeting it for ubiquitin-mediated proteolysis. In the absence of Wnt signaling, the beta-catenin destruction complex constitutively suppresses the canonical Wnt signaling pathway by preventing the accumulation of cytoplasmic beta-catenin (arm). (Adapted from FBrf0217546).	Q9Y1T2,Q9VAS9,Q9V407,P54367,P18431	22174073,24931405	beta-catenin destruction complex ; GO:0030877	negative regulation of canonical Wnt signaling pathway ; GO:0090090	-
FBgg0000473	DYSTROPHIN GLYCOPROTEIN COMPLEX	DGC	Dystrophin-associated protein complex|Dystrophin complex	DAPC|DC|DPC	The Dystrophin glycoprotein complex (DGC) is a plasma membrane transmembrane complex that links the actin cytoskeleton to the extracellular matrix. The DGC is important for maintaining the integrity of skeletal and cardiac muscle cells. It also functions as a scaffold for proteins involved in signaling and accumulates at the neuromuscular junction and at a variety of synapses in the peripheral and central nervous system. (Adapted from FBrf0212855 and FBrf0129834).	A0A0C4DHF6,A8DYB7,Q9VDW6,M9PF78,Q9VG77,O76892,Q9VNY2,A1ZAH3	15161095,11018515,19899002	dystrophin-associated glycoprotein complex ; GO:0016010	-	structural constituent of muscle ; GO:0008307
FBgg0001209	DNA POLYMERASE ALPHA-PRIMASE	DNAPOLA	-	DNApolalpha|Polalpha	DNA polymerase alpha-primase synthesizes short RNA-DNA primers on the lagging strand during DNA synthesis. It is a heterotetramer composed of two polymerase subunits (DNApol-alpha180 and DNApol-alpha73) and two primase subunits (DNApol-alpha50 and DNApol-alpha60). DNApol-alpha180 and DNApol-alpha50 encode the DNA polymerase and RNA primase catalytic activities, respectively, while DNApol-alpha73 and DNApol-alpha60 encode the regulatory subunits. (Adapted from PMID:30005324.)	P26019,Q9VB62,Q24317,Q9VPH2	31933406	alpha DNA polymerase:primase complex ; GO:0005658|nucleus ; GO:0005634	lagging strand elongation ; GO:0006273	DNA-directed DNA polymerase activity ; GO:0003887|DNA primase activity ; GO:0003896
FBgg0001211	DNA POLYMERASE DELTA	DNAPOLD	-	-	DNA polymerase delta functions as a leading strand polymerase during nuclear DNA synthesis. It is a multi-subunit enzyme in which DNApol-delta encodes the catalytic subunit with polymerase and 3'-5' exonuclease proofreading activities. (Adapted from PMID:30005324.)	P54358,Q9W088,Q9Y118	31933406	delta DNA polymerase complex ; GO:0043625|nucleus ; GO:0005634	DNA replication proofreading ; GO:0045004|leading strand elongation ; GO:0006272	3'-5'-exodeoxyribonuclease activity ; GO:0008296|DNA-directed DNA polymerase activity ; GO:0003887
